IBP, 90, 0.212, 2.35123257
IBP, 3040, 6.175, 2.21295209
IBP, 3310, 7.980, 6.84273282
default_gurobi, 52, 7.015, 1.57703733
FIXIPM, 38, 5.699, 1.57708304
IBP, 100, 0.242, 2.49876927
IBP, 1510, 3.235, 2.33189083
default_gurobi, 11, 0.090, 1.86748144
FIXIPM, 11, 0.174, 1.86750771
IBP, 220, 0.042, 42.79585310
IBP, 3000, 0.172, 1.66126475
IBP, 3000, 0.220, 3.28526036
badmm, 20000, 6.461, 1.68100918
primal IPM, 12, 37.896, 1.66988814
default_gurobi, 11, 0.081, 1.75558784
FIXIPM, 12, 0.158, 1.75561397
IBP, 180, 0.041, 16.78012324
IBP, 3000, 0.192, 1.61732764
IBP, 3000, 0.179, 3.13126530
default_gurobi, 11, 0.086, 1.76411035
primal IPM, 11, 2.079, 1.59703383
default_gurobi, 11, 0.080, 1.67925674
default_gurobi, 11, 0.072, 1.69045971
primal IPM, 13, 3.946, 1.53326605
default_gurobi, 11, 0.091, 1.75473060
default_gurobi, 14, 0.091, 1.79258647
default_gurobi, 12, 0.118, 1.87927379
default_gurobi, 11, 0.070, 1.69825377
primal IPM, 23, 2.353, 1.55789188
default_gurobi, 11, 0.071, 1.81131088
default_gurobi, 12, 0.079, 1.63249947
default_gurobi, 11, 0.079, 1.90682124
default_gurobi, 11, 0.073, 1.66385049
default_gurobi, 11, 0.078, 1.92231655
FIXIPM, 11, 0.152, 1.77215681
FIXIPM, 11, 0.133, 1.73569148
FIXIPM, 12, 0.136, 1.78000888
FIXIPM, 12, 0.147, 1.84911161
primal IPM, 24, 4.116, 1.66096796
FIXIPM, 11, 0.171, 1.73452450
FIXIPM, 12, 0.081, 1.64244130
FIXIPM, 12, 0.072, 1.92003274
default_gurobi, 11, 0.061, 1.81647459
FIXIPM, 11, 0.078, 1.81656446
default_gurobi, 32, 10.038, 0.49564450
FIXIPM, 23, 1.733, 0.49565403
default_gurobi, 29, 9.678, 0.52812826
FIXIPM, 22, 1.782, 0.52814893
default_gurobi, 36, 10.366, 0.51829968
FIXIPM, 24, 2.175, 0.51832718
default_gurobi, 33, 9.997, 0.50976587
FIXIPM, 21, 1.555, 0.50977770
default_gurobi, 31, 10.162, 0.52769109
FIXIPM, 22, 1.695, 0.52774111
default_gurobi, 42, 10.850, 0.51534058
FIXIPM, 22, 1.868, 0.51535178
FIXIPM, 7, 0.203, 1.17454370
FIXIPM, 7, 0.034, 1.17454370
FIXIPM, 7, 0.089, 1.17454370
FIXIPM, 7, 0.023, 1.17454370
FIXIPM, 7, 0.007, 1.17454370
FIXIPM, 7, 0.005, 1.17454370
FIXIPM, 7, 0.005, 1.17454370
FIXIPM, 7, 0.006, 1.17454370
FIXIPM, 7, 0.005, 1.17454370
FIXIPM, 7, 0.006, 1.17454370
FIXIPM, 7, 0.006, 1.17454370
FIXIPM, 7, 0.010, 1.17454370
FIXIPM, 7, 0.007, 1.17454370
FIXIPM, 7, 0.006, 1.17454370
FIXIPM, 7, 0.008, 1.17454370
FIXIPM, 7, 0.005, 1.17454370
FIXIPM, 7, 0.009, 1.17454370
FIXIPM, 9, 0.021, 0.15190681
FIXIPM, 9, 0.009, 0.11107794
FIXIPM, 9, 0.008, 0.15646805
FIXIPM, 2000, 2.302, NaN
FIXIPM, 9, 0.007, 0.15646805
FIXIPM, 9, 0.007, 0.15646805
FIXIPM, 80, 0.103, 3.34820599
FIXIPM, 80, 0.110, 3.34820599
FIXIPM, 9, 0.007, 0.15646805
FIXIPM, 2000, 2.013, NaN
FIXIPM, 2000, 2.020, NaN
FIXIPM, 9, 0.007, 0.15476720
FIXIPM, 17, 0.047, 0.23572427
FIXIPM, 32, 0.082, 0.12792827
FIXIPM, 19, 0.055, 0.15272401
FIXIPM, 19, 0.063, 0.15272401
FIXIPM, 17, 0.036, 0.23572427
FIXIPM, 52, 0.088, 0.53706658
FIXIPM, 24, 0.082, 0.23260098
FIXIPM, 2000, 2.096, NaN
FIXIPM, 11, 0.011, 0.23399500
FIXIPM, 9, 0.008, 0.15476720
FIXIPM, 9, 0.008, 0.15476720
FIXIPM, 2000, 2.000, NaN
FIXIPM, 9, 0.007, 0.15476720
FIXIPM, 9, 0.013, 0.15476720
FIXIPM, 9, 0.033, 0.15476720
FIXIPM, 9, 0.011, 0.15476720
FIXIPM, 9, 0.007, 0.15476720
FIXIPM, 2000, 2.372, NaN
FIXIPM, 11, 0.016, 0.12480620
FIXIPM, 11, 0.012, 0.12480620
primal IPM, 12, 0.237, 0.09399908
FIXIPM, 11, 0.033, 0.12480620
primal IPM, 12, 0.232, 0.09399908
primal IPM, 11, 0.105, 0.09876660
primal IPM, 8, 0.086, 0.08930306
primal IPM, 10, 0.097, 0.08432435
primal IPM, 11, 0.103, 0.09876660
primal IPM, 7, 0.047, 3.74084058
primal IPM, 8, 0.067, 3.24823792
FIXIPM, 9, 0.028, 4.00314556
FIXIPM, 8, 0.009, 10.19267493
FIXIPM, 9, 0.009, 4.63206310
FIXIPM, 2000, 1.469, NaN
FIXIPM, 20, 0.044, 10.93396324
FIXIPM, 10, 0.009, 1.88141434
FIXIPM, 51, 0.103, 7.75232000
primal IPM, 7, 0.038, 0.72369470
primal IPM, 7, 0.033, 0.72369470
primal IPM, 8, 0.075, 29.73464408
primal IPM, 20, 0.081, 32.91614882
primal IPM, 15, 0.101, 96.66828261
primal IPM, 10, 0.130, 46.58748668
primal IPM, 9, 0.057, 38.13073032
primal IPM, 10, 0.127, 49.11148434
primal IPM, 10, 0.093, 63.46757426
primal IPM, 10, 0.233, 63.46757426
primal IPM, 10, 0.127, 63.46757426
primal IPM, 10, 0.095, 63.46757426
primal IPM, 10, 0.088, 63.46757426
primal IPM, 10, 0.088, 63.46757426
primal IPM, 10, 0.091, 63.46757426
primal IPM, 10, 0.089, 63.46757426
primal IPM, 10, 0.104, 63.46757426
primal IPM, 10, 0.094, 63.46757426
primal IPM, 9, 0.117, 34.61848323
FIXIPM, 19, 0.037, 46.75381858
FIXIPM, 51, 0.096, 52.52833273
FIXIPM, 51, 0.087, 52.52833273
FIXIPM, 20, 0.021, 66.07384814
FIXIPM, 14, 0.011, 50.34908861
FIXIPM, 15, 0.015, 44.62504282
FIXIPM, 15, 0.015, 81.51921815
FIXIPM, 11, 0.008, 52.20058698
FIXIPM, 12, 0.010, 26.48653168
FIXIPM, 12, 0.009, 26.48653168
FIXIPM, 12, 0.017, 26.48653168
FIXIPM, 12, 0.011, 26.48653168
FIXIPM, 15, 0.026, 37.28725327
FIXIPM, 15, 0.027, 37.28725327
primal IPM, 8, 0.065, 38.03800781
FIXIPM, 15, 0.028, 37.28725327
FIXIPM, 15, 0.028, 37.28725327
FIXIPM, 15, 0.023, 37.28725327
FIXIPM, 15, 0.025, 37.28725327
FIXIPM, 15, 0.019, 37.28725327
primal IPM, 8, 0.117, 38.03800781
primal IPM, 8, 0.067, 38.03800781
FIXIPM, 15, 0.147, 37.28725327
FIXIPM, 15, 0.035, 37.28725327
FIXIPM, 15, 0.018, 37.28725327
FIXIPM, 15, 0.013, 37.28725327
FIXIPM, 15, 0.014, 37.28725327
FIXIPM, 15, 0.017, 37.28725327
FIXIPM, 76, 0.092, 76.86479743
FIXIPM, 76, 0.091, 76.86479743
FIXIPM, 15, 0.017, 44.62504282
FIXIPM, 15, 0.015, 44.62504282
FIXIPM, 28, 0.050, 42.84403778
FIXIPM, 28, 0.036, 42.84403778
FIXIPM, 61, 0.076, 119.78032613
FIXIPM, 24, 0.045, 59.87624896
FIXIPM, 24, 0.045, 59.87624896
FIXIPM, 15, 0.158, 37.28725327
FIXIPM, 15, 0.022, 37.28725327
FIXIPM, 76, 0.116, 76.86479743
FIXIPM, 76, 0.082, 76.86479743
FIXIPM, 15, 0.015, 44.62504282
FIXIPM, 15, 0.018, 44.62504282
FIXIPM, 76, 0.084, 76.86479743
FIXIPM, 15, 0.017, 44.62504282
FIXIPM, 28, 0.042, 42.84403778
FIXIPM, 28, 0.043, 42.84403778
FIXIPM, 61, 0.075, 119.78032613
FIXIPM, 24, 0.041, 59.87624896
FIXIPM, 37, 0.178, 9.38222750
FIXIPM, 37, 0.058, 9.38222750
FIXIPM, 21, 0.112, 68.40687011
FIXIPM, 21, 0.074, 68.40687011
FIXIPM, 21, 0.069, 68.40687011
FIXIPM, 37, 0.050, 9.38222750
FIXIPM, 15, 0.055, 44.62504284
FIXIPM, 2000, 2.705, NaN
FIXIPM, 2000, 2.821, NaN
FIXIPM, 57, 0.177, 118.13141328
FIXIPM, 57, 0.141, 118.13141328
FIXIPM, 22, 0.170, 59.83208728
FIXIPM, 22, 0.157, 59.83208728
FIXIPM, 43, 0.273, 57.41195394
FIXIPM, 29, 0.046, 27.78018674
FIXIPM, 51, 0.148, 64.26456787
FIXIPM, 16, 0.026, 95.84145201
FIXIPM, 16, 0.169, 95.84145201
FIXIPM, 16, 0.039, 95.84145201
